date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
22:56:59	128/128	---M-Z	200	added ('OK')	text/plain	date:Wed,%2012%20Nov%202025%2021:57:00%20GMT	https://elektriker-pohl.de/robots.txt		(from )
22:56:59	113053/113053	---MCZ	200	added ('OK')	text/html	date:Wed,%2012%20Nov%202025%2021:57:00%20GMT	https://elektriker-pohl.de/	C:/My%20Web%20Sites/elektriker-pohl._Backup/elektriker-pohl.de/index.html	(from )
22:56:59	5456/5456	---M-Z	200	added ('OK')	text/css	date:Sun,%2015%20Jun%202025%2013:31:56%20GMT	https://elektriker-pohl.de/wp-content/themes/hello-elementor/assets/css/reset.css?ver=3.4.4	C:/My%20Web%20Sites/elektriker-pohl._Backup/elektriker-pohl.de/wp-content/themes/hello-elementor/assets/css/resetedb1.css	(from https://elektriker-pohl.de/)
22:57:00	2348/2348	---M-Z	200	added ('OK')	application/rss+xml	etag:%22c2dc7aaf37e3038993438570f114bb24%22	https://elektriker-pohl.de/feed/	C:/My%20Web%20Sites/elektriker-pohl._Backup/elektriker-pohl.de/feed/index.html	(from https://elektriker-pohl.de/)
22:57:00	5097/5097	---M-Z	200	added ('OK')	text/css	date:Sun,%2015%20Jun%202025%2013:31:56%20GMT	https://elektriker-pohl.de/wp-content/themes/hello-elementor/assets/css/theme.css?ver=3.4.4	C:/My%20Web%20Sites/elektriker-pohl._Backup/elektriker-pohl.de/wp-content/themes/hello-elementor/assets/css/themeedb1.css	(from https://elektriker-pohl.de/)
22:57:00	7182/7182	---M-Z	200	added ('OK')	text/css	date:Sun,%2015%20Jun%202025%2013:31:56%20GMT	https://elektriker-pohl.de/wp-content/themes/hello-elementor/assets/css/header-footer.css?ver=3.4.4	C:/My%20Web%20Sites/elektriker-pohl._Backup/elektriker-pohl.de/wp-content/themes/hello-elementor/assets/css/header-footeredb1.css	(from https://elektriker-pohl.de/)
22:57:00	1713/1713	---M-Z	200	added ('OK')	application/rss+xml	etag:%22c2dc7aaf37e3038993438570f114bb24%22	https://elektriker-pohl.de/comments/feed/	C:/My%20Web%20Sites/elektriker-pohl._Backup/elektriker-pohl.de/comments/feed/index.html	(from https://elektriker-pohl.de/)
22:57:01	53614/53614	---M-Z	200	added ('OK')	text/css	date:Fri,%2026%20Sep%202025%2013:59:09%20GMT	https://elektriker-pohl.de/wp-content/plugins/elementor/assets/css/frontend.min.css?ver=3.32.2	C:/My%20Web%20Sites/elektriker-pohl._Backup/elektriker-pohl.de/wp-content/plugins/elementor/assets/css/frontend.min20c8.css	(from https://elektriker-pohl.de/)
22:57:01	1941/1941	---M-Z	200	added ('OK')	text/css	date:Wed,%2012%20Nov%202025%2014:17:29%20GMT	https://elektriker-pohl.de/wp-content/uploads/elementor/css/post-6.css?ver=1762957049	C:/My%20Web%20Sites/elektriker-pohl._Backup/elektriker-pohl.de/wp-content/uploads/elementor/css/post-6f8f0.css	(from https://elektriker-pohl.de/)
22:57:01	600/600	---M-Z	200	added ('OK')	text/css	date:Fri,%2026%20Sep%202025%2013:59:09%20GMT	https://elektriker-pohl.de/wp-content/plugins/elementor/assets/css/widget-heading.min.css?ver=3.32.2	C:/My%20Web%20Sites/elektriker-pohl._Backup/elektriker-pohl.de/wp-content/plugins/elementor/assets/css/widget-heading.min20c8.css	(from https://elektriker-pohl.de/)
